age,gender,education,income,approved
32,Male,12,50000,1
45,Male,16,75000,1
37,Female,16,70000,0
26,Female,12,45000,0
42,Male,14,65000,1
28,Female,12,48000,0
53,Male,18,90000,1
31,Female,16,67000,1
24,Male,14,52000,0
39,Male,12,48000,0
41,Male,14,72000,1
29,Female,16,58000,1
36,Female,12,45000,0
44,Male,18,85000,1
27,Female,14,46000,0
35,Male,16,63000,1
48,Male,16,78000,1
33,Female,14,54000,0
51,Male,18,95000,1
30,Female,14,51000,0
47,Male,16,83000,1
34,Female,12,49000,0
43,Male,14,72000,1
25,Female,12,42000,0
38,Male,16,67000,1
52,Male,18,92000,1
40,Female,16,68000,1
46,Male,14,76000,1
29,Female,12,48000,0
50,Male,16,88000,1 
