age,gender,education,income,approved
32,Male,12,50000,1
45,Male,16,75000,1
37,Female,16,70000,0
26,Female,12,45000,0
42,Male,14,65000,1
55,Male,9,80000,1
23,Female,11,40000,0
51,Male,16,90000,1
48,Female,16,85000,0
50,Male,10,75000,1
29,Female,14,55000,0
34,Male,12,60000,1
25,Female,16,52000,0
41,Male,14,68000,1
39,Male,12,63000,1
36,Female,10,58000,0
64,Male,9,70000,1
29,Male,12,51000,0
44,Female,14,67000,0
60,Male,16,85000,1
27,Female,12,49000,0
33,Male,12,62000,1
52,Male,9,78000,1
30,Female,16,59000,0
38,Male,14,67000,1
22,Female,12,42000,0
47,Male,14,75000,1
35,Female,16,64000,0
58,Male,9,79000,1
31,Female,12,54000,0 
