age,gender,race,education,hours_per_week,income
32,1,0,12,40,0
45,1,0,16,50,1
37,0,1,16,45,0
26,0,0,12,40,0
42,1,0,14,40,1
55,1,0,9,60,1
23,0,0,11,30,0
51,1,1,16,42,1
48,0,0,16,38,0
50,1,0,10,55,1
29,0,1,14,40,0
34,1,0,12,60,1
25,0,0,16,35,0
41,1,0,14,40,1
39,1,1,12,45,1
36,0,0,10,38,0
64,1,0,9,38,1
29,1,0,12,40,0
44,0,0,14,45,0
60,1,0,16,40,1
27,0,1,12,36,0
33,1,0,12,40,1
52,1,0,9,50,1
30,0,0,16,40,0
38,1,1,14,45,1
22,0,0,12,30,0
47,1,0,14,60,1
35,0,0,16,40,0
58,1,0,9,45,1
31,0,1,12,38,0
40,1,0,16,50,1
28,0,0,12,40,0
43,1,0,14,45,1
54,1,1,12,40,1
24,0,0,12,32,0
49,1,0,16,50,1
36,0,0,14,40,0
63,1,0,9,35,1
29,0,1,12,38,0
46,1,0,16,55,1
27,0,0,12,40,0
39,1,0,14,45,1
55,1,1,9,40,1
32,0,0,16,40,0
51,1,0,12,50,1
30,0,0,14,40,0
41,1,0,16,45,1
34,0,1,12,38,0
59,1,0,9,40,1
26,0,0,16,35,0 
